newName,04536-0005-Data.por,04536-0006-Data.por,20022-0005-Data.sav,20022-0006-Data.sav,22480-0005-Data.sav,22480-0006-Data.sav,25382-0005-Data.sav,25382-0006-Data.sav,28401-0005-Data.sav,28401-0006-Data.sav,30985-0005-Data.sav,30985-0006-Data.sav,34409-0005-Data.sav,34409-0006-Data.sav,34861-0005-Data.sav,34861-0006-Data.sav,35218-0005-Data.sav,35218-0006-Data.sav,36263-0005-Data.sav,36263-0006-Data.sav,36408-0005-Data.sav,36408-0006-Data.sav,36798-0005-Data.sav,36798-0006-Data.sav,37182-0005-Data.sav,37182-0006-Data.sav,37416-0005-Data.sav,37416-0006-Data.sav,37841-0005-Data.sav,37841-0006-Data.sav,38156-0005-Data.sav,38156-0006-Data.sav,38503-0005-Data.sav,38503-0006-Data.sav,38882-0005-Data.sav,38882-0006-Data.sav,39172-0005-Data.sav,39172-0006-Data.sav
year_admin,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1
form_id,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3
r_id,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,RESPONDENT_ID,RESPONDENT_ID,V6,V6,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID,RESPONDENT_ID
sampling_weight,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT,ARCHIVE_WT
schl_rgn_4,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13,V13
self_rep_large_msa,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16,V16
msa_non_msa,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17,V17
r_sex,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150,V4150,V5150
r_race,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151,V4151,V5151
fathr_educ_level,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163,V4163,V5163
