newName,04537-0001-Data.sav,04537-0005-Data.sav,20180-0001-Data.sav,20180-0005-Data.sav,22500-0001-Data.sav,22500-0005-Data.sav,25422-0001-Data.sav,25422-0005-Data.sav,28402-0001-Data.sav,28402-0005-Data.sav,30984-0001-Data.sav,30984-0005-Data.sav,33902-0001-Data.sav,33902-0005-Data.sav,34574-0001-Data.sav,35166-0001-Data.sav,36149-0001-Data.sav,36407-0001-Data.sav,36799-0001-Data.sav,37183-0001-Data.sav,37415-0001-Data.sav,37842-0001-Data.sav,38189-0001-Data.sav,38502-0001-Data.sav,38883-0001-Data.sav,39171-0001-Data.sav
year_admin,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1,V1
form_id,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3,V3
r_id,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,V4,NA,NA,NA,NA,NA,NA
r_id_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI_08,AI_08,AI_08,AI_08,AI_08,AI_08
r_id_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AI_10,AI_10,AI_10,AI_10,AI_10,AI_10
sampling_weight,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5,V5
grade_level,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V501,V501,V501,V501,V501,V501,V501,V501,V501,V501,V501,V501
schl_rgn_4,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507,V507
self_rep_large_msa,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508,V508
msa_non_msa,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509,V509
r_sex,V1233,V1233,V1246,V1246,V1246,V1246,V1246,V1246,V1246,V1246,V1253,V1253,V1253,V1253,V7202,V7202,V7202,V7202,V7202,V7202,V7202,V7202,V7202,V7202,V7202,V7202
r_race,V1234,V1234,V1247,V1247,V1247,V1247,V1247,V1247,V1247,V1247,V1254,V1254,V1254,V1254,V1070,V1070,V1070,V1070,V1070,V1070,V1070,V1070,V1070,V1070,V1070,V1070
fathr_educ_level,V1246,V1246,V1259,V1259,V1259,V1259,V1259,V1259,V1259,V1259,V1266,V1266,V1266,V1266,V7215,V7215,V7215,V7215,V7215,V7215,V7215,V7215,V7215,V7215,V7215,V7215
mothr_educ_level,V1247,V1247,V1260,V1260,V1260,V1260,V1260,V1260,V1260,V1260,V1267,V1267,V1267,V1267,V7216,V7216,V7216,V7216,V7216,V7216,V7216,V7216,V7216,V7216,V7216,V7216
x_4w_sc_ms_cut,V1263,V1263,V1276,V1276,V1276,V1276,V1276,V1276,V1276,V1276,V1283,V1283,V1283,V1283,V7229,V7229,V7229,V7229,V7229,V7229,V7229,V7229,V7229,V7229,V7229,V7229
x_4w_skp_class,V1265,V1265,V1278,V1278,V1278,V1278,V1278,V1278,V1278,V1278,V1285,V1285,V1285,V1285,V7231,V7231,V7231,V7231,V7231,V7231,V7231,V7231,V7231,V7231,V7231,V7231
r_hs_grade,V1252,V1252,V1265,V1265,V1265,V1265,V1265,V1265,V1265,V1265,V1272,V1272,V1272,V1272,V7221,V7221,V7221,V7221,V7221,V7221,V7221,V7221,V7221,V7221,V7221,V7221
five_drk_row_2w,V1185,V1185,V1198,V1198,V1198,V1198,V1198,V1198,V1198,V1198,V1205,V1205,V1205,V1205,V7108,V7108,V7108,V7108,V7108,V7108,V7108,V7108,V7108,V7108,V7108,V7108
